hour,day_of_week,month,temperature,humidity,wind_speed,cloud_cover,precipitation,weather_description_Berawan,weather_description_Cerah,weather_description_Cerah Berawan,weather_description_Hujan Ringan,weather_description_Hujan Sedang,weather_description_Petir
0.06666829366003048,0.0,-1.0661857890406046,1.3428412405478725,-1.9077715343761497,1.2967093516090744,-0.9241094939237111,-0.522676060806964,0.0,0.0,1.0,0.0,0.0,0.0
0.21097195959083245,0.0,-1.0661857890406046,1.00476439247439,-0.786306910540657,2.7809157095269996,0.6748341758119257,0.5012523283567691,0.0,0.0,0.0,1.0,0.0,0.0
0.35527562552163444,0.0,-1.0661857890406046,0.6666875444009077,-0.5459930625759086,2.595389914787259,-0.2845320260294564,0.5012523283567691,0.0,0.0,0.0,1.0,0.0,0.0
0.4995792914524364,0.0,-1.0661857890406046,0.6666875444009077,-0.7062022945524076,2.595389914787259,-0.2845320260294564,0.5012523283567691,0.0,0.0,0.0,1.0,0.0,0.0
0.6438829573832384,0.0,-1.0661857890406046,0.6666875444009077,-0.6260976785641581,2.595389914787259,-0.5643471682331928,-0.522676060806964,0.0,0.0,1.0,0.0,0.0,0.0
0.7881866233140403,0.0,-1.0661857890406046,0.32861069632742534,-0.2255745986229107,2.409864120047518,-0.2845320260294564,-0.522676060806964,0.0,0.0,1.0,0.0,0.0,0.0
0.9324902892448423,0.0,-1.0661857890406046,-0.009466151746057064,0.09484386533008718,2.409864120047518,-0.6043207599765837,-0.522676060806964,0.0,0.0,1.0,0.0,0.0,0.0
1.0767939551756442,0.0,-1.0661857890406046,-0.34754299981953946,0.09484386533008718,2.409864120047518,-0.12463765905589269,-0.522676060806964,0.0,0.0,1.0,0.0,0.0,0.0
1.2210976211064464,0.0,-1.0661857890406046,-0.34754299981953946,0.2550530973065861,0.8097041404172555,-0.1646112507992836,-0.522676060806964,0.0,0.0,1.0,0.0,0.0,0.0
1.3654012870372483,0.0,-1.0661857890406046,-0.6856198478930219,0.41526232928308504,0.8097041404172555,-0.9241094939237111,-0.522676060806964,0.0,0.0,1.0,0.0,0.0,0.0
1.5097049529680502,0.0,-1.0661857890406046,-1.0236966959665041,0.4953669452713345,0.5777968969925797,-2.642973938889521,-0.522676060806964,0.0,1.0,0.0,0.0,0.0,0.0
1.6540086188988523,0.0,-1.0661857890406046,-1.0236966959665041,0.575471561259584,0.41546182659530645,-3.1626306315536024,-0.522676060806964,0.0,1.0,0.0,0.0,0.0,0.0
-1.6649756975095933,0.4980119205559974,-1.0661857890406046,-1.0236966959665041,0.7356807932360829,0.9024670377871254,-2.962762672836648,-0.522676060806964,0.0,1.0,0.0,0.0,0.0,0.0
-1.5206720315787914,0.4980119205559974,-1.0661857890406046,-1.0236966959665041,0.7356807932360829,0.41546182659530645,-3.2425778150403843,-0.522676060806964,0.0,1.0,0.0,0.0,0.0,0.0
-1.3763683656479893,0.4980119205559974,-1.0661857890406046,-1.3617735440399865,0.8157854092243324,-0.39621352539105875,-3.2026042232969933,-0.522676060806964,0.0,1.0,0.0,0.0,0.0,0.0
-1.2320646997171874,0.4980119205559974,-1.0661857890406046,-1.3617735440399865,0.8958900252125819,4.728936554294276,-3.3225249985271663,-0.522676060806964,0.0,1.0,0.0,0.0,0.0,0.0
-1.0877610337863854,0.4980119205559974,-1.0661857890406046,-1.3617735440399865,0.8958900252125819,-0.39621352539105875,-2.6829475306329114,-0.522676060806964,0.0,1.0,0.0,0.0,0.0,0.0
-0.9434573678555834,0.4980119205559974,-1.0661857890406046,-1.3617735440399865,0.8958900252125819,-0.30345062802118833,-2.7229211223763023,-0.522676060806964,0.0,1.0,0.0,0.0,0.0,0.0
-0.7991537019247814,0.4980119205559974,-1.0661857890406046,-0.34754299981953946,0.7356807932360829,0.4850339996227093,-1.1239774526406656,-0.522676060806964,0.0,1.0,0.0,0.0,0.0,0.0
-0.6548500359939794,0.4980119205559974,-1.0661857890406046,-0.34754299981953946,0.014739249341837703,-0.30345062802118833,-2.443105980172566,-0.522676060806964,0.0,1.0,0.0,0.0,0.0,0.0
-0.5105463700631775,0.4980119205559974,-1.0661857890406046,0.32861069632742534,-0.46588844658765916,1.1111835568693338,-0.5643471682331928,-0.522676060806964,0.0,0.0,1.0,0.0,0.0,0.0
-0.3662427041323755,0.4980119205559974,-1.0661857890406046,0.6666875444009077,-1.106725374493655,2.1547661522803745,-0.44442639300302006,-0.522676060806964,0.0,0.0,1.0,0.0,0.0,0.0
-0.22193903820157349,0.4980119205559974,-1.0661857890406046,1.6809180886213548,-1.9077715343761497,0.9256577621295934,-1.4837397783311839,-0.522676060806964,0.0,1.0,0.0,0.0,0.0,0.0
-0.0776353722707715,0.4980119205559974,-1.0661857890406046,2.0189949366948374,-2.148085382340898,1.8300960114858285,-1.4837397783311839,-0.522676060806964,0.0,1.0,0.0,0.0,0.0,0.0
0.06666829366003048,0.4980119205559974,-1.0661857890406046,1.6809180886213548,-1.5873530704231518,3.499828164143494,0.23512466663462558,-0.522676060806964,0.0,0.0,1.0,0.0,0.0,0.0
0.21097195959083245,0.4980119205559974,-1.0661857890406046,2.0189949366948374,-2.148085382340898,1.8300960114858285,-0.004716883825719929,-0.522676060806964,0.0,0.0,1.0,0.0,0.0,0.0
0.35527562552163444,0.4980119205559974,-1.0661857890406046,1.6809180886213548,-2.0679807663526484,2.317101222677648,0.03525670791767099,-0.522676060806964,0.0,0.0,1.0,0.0,0.0,0.0
